Group,Screen11,Screen12,Screen13,Word,QUDType,ScreenQUD,Screen2,Screen3,Screen4,Screen5,Screen6,Screen7,Screen8,,,
A,A,F,T,AFT,Specific,Is there an F or a J?,There is an F and,and,there is no J.,T1.24,VCC,J,PositiveNegative,,Initially True Neg,TF
B,A,F,T,AFT,Specific,Is there an F or a T?,There is an F but,but,there is a T.,T2.28,VCC,J,PositivePositive,,Initially True Neg,TT
A,A,L,E,ALE,Specific,Is there an L or a Z?,There is an L and,and,there is no Z.,T1.23,VCV,J,PositiveNegative,,,
B,A,L,E,ALE,Specific,Is there an A or an L?,There is an A and,and,there is an L.,T2.2,VCV,J,PositivePositive,,,
A,A,M,I,AMI,Specific,Is there an M or an F?,There is an M but,but,there is no F.,T1.42,VCV,J,PositiveNegative,,Intitially False,FT
B,A,M,I,AMI,Specific,Is there an M or an F?,There is an M but,but,there is no F.,T2.25,VCV,J,PositiveNegative,,,
A,A,N,T,ANT,Specific,Is there an N or a V?,There is an N but,but,there is a V.,T1.45,VCC,F,PositivePositive,,Initially True Neg,TT
A,A,P,E,APE,Specific,Is there a P or an N?,There is a P but,but,there is an N.,T1.41,VCV,F,PositivePositive,,,
B,A,P,T,APT,Specific,Is there a P or a U?,There is a P and,and,there is a U.,T2.11,VCC,F,PositivePositive,,Initially True Neg,TT
A,A,R,K,ARK,Specific,Is there an A or a K?,There is an A and,and,there is a K.,T1.16,VCC,J,PositivePositive,,Initially True Neg,TT
A,A,R,M,ARM,Specific,Is there an R or a J?,There is an R but,but,there is no J.,T1.46,VCC,J,PositiveNegative,,,
B,A,R,M,ARM,Specific,Is there an A or an M?,There is an A but,but,there is no M.,T2.29,VCC,F,PositiveNegative,,,
A,A,S,K,ASK,Specific,Is there an S or a K?,There is an S but,but,there is a K.,T1.47,VCC,J,PositivePositive,,Initially True Neg,TT
B,A,S,P,ASP,Specific,Is there an S or an R?,There is an S but,but,there is no R.,T2.42,VCC,J,PositiveNegative,,Intitially False,FT
B,A,T,E,ATE,Specific,Is there a T or an E?,There is a T but,but,there is no E.,T2.38,VCV,F,PositiveNegative,,Intitially False,FT
A,A,X,E,AXE,Specific,Is there an X or an E?,There is an X and,and,there is an E.,T1.13,VCV,J,PositivePositive,,Initially True Neg,TT
B,B,A,D,BAD,Specific,Is there a B or an A?,There is a B but,but,there is no A.,T2.30,CVC,F,PositiveNegative,,,
A,B,A,G,BAG,Specific,Is there a B or a G?,There is a B and,and,there is a G.,T1.1,CVC,J,PositivePositive,,Initially True Neg,TT
A,B,A,Y,BAY,Specific,Is there a B or a Y?,There is a B and,and,there is a Y.,T1.7,CVV,J,PositivePositive,,Intitially False,FT
A,B,E,D,BED,Specific,Is there a B or an L?,There is a B but,but,there is no L.,T1.25,CVC,J,PositiveNegative,,Intitially False,FT
B,B,E,D,BED,Specific,Is there a B or an X?,There is a B and,and,there is no X.,T2.24,CVC,J,PositiveNegative,,Initially True Neg,TT
A,B,O,Y,BOY,Specific,Is there a B or an F?,There is a B but,but,there is no F.,T1.33,CVV,J,PositiveNegative,,Intitially False,FT
B,B,O,Y,BOY,Specific,Is there a B or an H?,There is a B but,but,there is no H.,T2.33,CVV,J,PositiveNegative,,,
B,B,U,S,BUS,Specific,Is there a B or a U?,There is a B and,and,there is a U.,T2.7,CVC,J,PositivePositive,,Intitially False,FT
A,C,A,R,CAR,Specific,Is there a C or an R?,There is a C and,and,there is an R.,T1.2,CVC,J,PositivePositive,,CB,TF
B,C,A,R,CAR,Specific,Is there a C or an R?,There is a C but,but,there is no R.,T2.48,CVC,F,PositiveNegative,,Initially True Neg,TT
A,C,U,E,CUE,Specific,Is there a C or a U?,There is a C and,and,there is a U.,T1.8,CVV,J,PositivePositive,,,
A,D,A,Y,DAY,Specific,Is there a D or an S?,There is a D but,but,there is no S.,T1.34,CVV,J,PositiveNegative,,Initially True Neg,TF
B,D,A,Y,DAY,Specific,Is there a D or a Y?,There is a D and,and,there is a Y.,T2.13,CVV,J,PositivePositive,,Initially True Neg,TT
A,D,O,G,DOG,Specific,Is there a D or a V?,There is a D but,but,there is no V.,T1.26,CVC,J,PositiveNegative,,,
B,D,O,G,DOG,Specific,Is there a D or a K?,There is a D and,and,there is a K.,T2.6,CVC,F,PositivePositive,,Initially True Neg,TF
A,E,G,O,EGO,Specific,Is there a G or an O?,There is a G but,but,there is an O.,T1.43,VCV,J,PositivePositive,,Initially True Neg,TF
B,E,G,O,EGO,Specific,Is there a G or an O?,There is a G and,and,there is an O.,T2.16,CVV,J,PositivePositive,,Initially True Neg,TF
B,E,L,F,ELF,Specific,Is there an L or an N?,There is an L but,but,there is an N.,T2.39,VCC,F,PositivePositive,,,
A,F,E,Y,FEY,Specific,Is there an E or a Y?,There is an E but,but,there is a Y.,T1.35,CVV,J,PositivePositive,,Initially True Neg,TT
B,F,O,E,FOE,Specific,Is there an F or an O?,There is an F and,and,there is no O.,T2.10,CVV,F,PositiveNegative,,Intitially False,FT
A,F,O,X,FOX,Specific,Is there an F or an X?,There is an F but,but,there is an X.,T1.27,CVC,J,PositivePositive,,Initially True Neg,TT
B,F,O,X,FOX,Specific,Is there an F or a D?,There is an F but,but,there is no D.,T2.46,CVC,J,PositiveNegative,,,
B,F,U,N,FUN,Specific,Is there an F or a P?,There is an F and,and,there is a P.,T2.15,CVC,F,PositivePositive,,,
A,G,U,Y,GUY,Specific,Is there a G or a U?,There is a G and,and,there is no U.,T1.9,CVV,F,PositiveNegative,,CB,TF
B,G,U,Y,GUY,Specific,Is there a G or a Y?,There is a G and,and,there is a Y.,T2.8,CVV,J,PositivePositive,,,
A,G,Y,M,GYM,Specific,Is there a Y or an M?,There is a Y and,and,there is no M.,T1.3,CVC,F,PositiveNegative,,,
B,G,Y,M,GYM,Specific,Is there a Y or an A?,There is a Y and,and,there is no A.,T2.21,CVC,J,PositiveNegative,,,
B,H,E,N,HEN,Specific,Is there an E or an L?,There is an E but,but,there is an L.,T2.45,CVC,F,PositivePositive,,Initially True Neg,TT
A,H,E,Y,HEY,Specific,Is there an E or a Y?,There is an E but,but,there is a Y.,T1.36,CVV,J,PositivePositive,,,
A,I,C,Y,ICY,Specific,Is there a C or a Y?,There is a C and,and,there is no Y.,T1.14,VCV,F,PositiveNegative,,,
B,I,C,Y,ICY,Specific,Is there a C or a Y?,There is a C and,and,there is no Y.,T2.4,VCV,F,PositiveNegative,,,
B,I,R,E,IRE,Specific,Is there an R or a Q?,There is an R but,but,there is no Q.,T2.26,VCV,J,PositiveNegative,,Intitially False,FT
A,J,A,M,JAM,Specific,Is there a J or an M?,There is a J but,but,there is an M.,T1.28,CVC,J,PositivePositive,,Initially True Neg,TT
